Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",13,6,0,31,31,195.1,11.104095852278252,1.520477855291213,0.8293515574315707,0.2727272727272727,0.80624187,0.409871244,0.100558659,97.70739994026285,2.2116041531508555,2.710346836848104,2.4491294744053644,2.663999807721626,6.636077404022217,"Tarik Skubal",22267,669373
"Paul Skenes","PIT",10,10,0,32,32,187.2,10.358792746226051,2.0142097006550657,0.5275311120763266,0.27292576419213976,0.82443654,0.443254817,0.06321839,98.23233492080479,1.966252326829945,2.6524270787352653,2.362489739913177,3.029963883239011,6.502514839172363,"Paul Skenes",33677,694973
"Cristopher Sánchez","PHI",13,5,0,32,32,202,9.445544554455445,1.9603960396039604,0.5346534653465347,0.29831144465290804,0.79823702,0.58302583,0.092307692,,2.495049504950495,3.0239149292162284,2.5509779023652035,2.7709091445597096,6.400233268737793,"Cristopher Sanchez",20778,650911
"Garrett Crochet","BOS",18,5,0,32,32,205.1,11.176948328809573,2.0162338161774134,1.051948078005607,0.29012345679012347,0.84257206,0.483101391,0.14117647,96.54952505506608,2.586039025097117,2.88012613853992,2.8867596886776856,2.643719180295724,5.780231475830078,"Garrett Crochet",27463,676979
"Logan Webb","SFG",15,11,0,34,34,207,9.73913043478261,2,0.6086956521739131,0.3462897526501767,0.74257426,0.532399299,0.098591549,92.74687801640927,3.217391304347826,3.5831788373531785,2.6037353520232127,2.782126572800144,5.528478622436523,"Logan Webb",17995,657277
"Jesús Luzardo","PHI",15,7,0,32,32,183.2,10.584392600744152,2.7931036029741514,0.7840290815366039,0.3240343347639485,0.69403715,0.427672955,0.09039548,96.37835043532338,3.9201454076830196,3.327402647237714,2.8955718766261582,3.2488633229737087,5.335048198699951,"Jesus Luzardo",19959,666200
"Yoshinobu Yamamoto","LAD",12,8,0,30,30,173.2,10.416507327997268,3.057581752994223,0.7255278735918494,0.24324324324324326,0.78507079,0.527577937,0.107692307,95.34593813195147,2.487524138029198,2.7235828511711904,2.9393589554915263,3.0454594084815447,4.996394634246826,"Yoshinobu Yamamoto",33825,808967
"Max Fried","NYY",19,5,0,32,32,195.1,8.708191353031493,2.3498294127227837,0.6450512113356661,0.27932960893854747,0.74001947,0.523809523,0.086956521,95.81036261792453,2.8566553644865214,3.3720535954859296,3.068583415449933,3.407593815140464,4.7727370262146,"Max Fried",13743,608331
"Hunter Brown","HOU",12,9,0,31,31,185.1,10.003597396839536,2.7679856874750177,0.825539591001321,0.26244343891402716,0.81986143,0.481400437,0.114093959,96.58185865644725,2.4280576205921207,3.1520613125449164,3.1405320018081033,3.1875778191300848,4.575861930847168,"Hunter Brown",25880,686613
"Kevin Gausman","TOR",10,11,0,32,32,193,8.813471502590673,2.33160621761658,0.9792746113989638,0.26171875,0.72228443,0.366920152,0.095022624,94.46422949938575,3.5906735751295336,3.7330307134101344,3.414929064320777,3.7658326320388777,4.101304531097412,"Kevin Gausman",14107,592332
"Zack Wheeler","PHI",10,5,0,24,24,149.2,11.726058703454148,1.984409934430702,1.142539053157071,0.26666666666666666,0.82372323,0.399425287,0.141791044,95.9765063526694,2.7060135469509574,2.4815738362582778,3.0015060195919254,2.7315265013475694,4.039516925811768,"Zack Wheeler",10310,554430
"Ranger Suárez","PHI",12,8,0,26,26,157.1,8.637712143646246,2.1737288838315054,0.8008474835168704,0.3167420814479638,0.79035874,0.467706013,0.088050314,91.18984485346046,3.2033899340674816,3.1526433921054227,3.211407507113156,3.612699158130572,4.036607265472412,"Ranger Suarez",17277,624133
"Framber Valdez","HOU",13,11,0,31,31,192,8.765625,3.1875,0.703125,0.29714285714285715,0.72888889,0.586142322,0.122950819,95.43178885323661,3.65625,3.7736891248460576,3.374719651540121,3.3387415078158185,4.016944408416748,"Framber Valdez",17295,664285
"Andrew Abbott","CIN",10,7,0,29,29,166.1,8.062124495026568,2.326653377759345,1.028056143661106,0.274468085106383,0.8004779,0.318087318,0.082608695,92.69346298495645,2.867735558633611,3.5527835477667655,3.6581824263852445,4.305076488667916,3.9303135871887207,"Andrew Abbott",29911,671096
"Nathan Eovaldi","TEX",11,3,0,22,22,130,8.930769230769231,1.4538461538461538,0.6923076923076923,0.24316109422492402,0.86538462,0.503012048,0.096153846,94.3563387784091,1.7307692307692308,3.019513802275403,2.7966747797452487,3.0300662315808813,3.7312192916870117,"Nathan Eovaldi",9132,543135
"Nick Pivetta","SDP",13,5,0,31,31,181.2,9.412844563774714,2.4770643588880827,1.0899083179107565,0.23464912280701755,0.78703704,0.335443037,0.096916299,93.85475150877835,2.8733946563101758,3.9671302039083125,3.4929345033795105,3.8450895201171256,3.6734888553619385,"Nick Pivetta",15454,601713
"Michael Wacha","KCR",10,13,0,31,31,172.2,6.567567954490865,2.3455599837467376,0.7818533279155792,0.2870722433460076,0.72680412,0.371698113,0.065789473,93.28842496542185,3.857143084383524,4.168070299742231,3.6563718701505064,4.562838509113116,3.636931896209717,"Michael Wacha",14078,608379
"Freddy Peralta","MIL",17,6,0,33,33,176.2,10.392452530988225,3.362264054143249,1.0698112899546701,0.24349881796690306,0.85495283,0.372727272,0.104477611,94.70941853422168,2.6999999222665485,3.417243462438743,3.6445702658042487,3.853379329266389,3.6201796531677246,"Freddy Peralta",18679,642547
"Bryan Woo","SEA",15,7,0,30,30,186.2,9.54642909166767,1.735714380303213,1.2535714968856537,0.23768736616702354,0.80369844,0.407786885,0.128078817,95.70774785323965,2.9410715888471106,3.0700219742953045,3.4672791934499947,3.3332064052683847,3.6130261421203613,"Bryan Woo",30279,693433
"Chris Sale","ATL",7,5,0,21,20,125.2,11.816976187106349,2.2917771999236556,0.7877984124737566,0.3127147766323024,0.82561728,0.39,0.093220338,94.8563668079174,2.5782493499141124,2.852859111236814,2.6735978543332735,2.9833477695270885,3.6004711240530014,"Chris Sale",10603,519242
"Sonny Gray","STL",14,8,0,32,32,180.2,10.012915692933463,1.892989036474983,1.2453875239966994,0.3292181069958848,0.69633508,0.438735177,0.14450867,91.69117647058823,4.284133082548646,3.8669103491079917,3.3897488786683345,3.0671708243031417,3.5670740604400635,"Sonny Gray",12768,543243
"Matthew Boyd","CHC",14,8,0,31,31,179.2,7.714285495898599,2.1038960443359813,0.9517624962472298,0.2732793522267207,0.76233184,0.37944664,0.08370044,93.26330773305085,3.2059368294643527,3.746659072914039,3.647195672912899,4.220339392077284,3.4332244396209717,"Matthew Boyd",15440,571510
"Dylan Cease","SDP",8,12,0,32,32,168,11.517857142857142,3.8035714285714284,1.125,0.3195121951219512,0.6898288,0.366197183,0.118644067,97.06857706547154,4.553571428571429,3.4504740796513294,3.5577553658258347,3.5570878581986545,3.3976783752441406,"Dylan Cease",18525,656302
"Jacob deGrom","TEX",12,8,0,30,30,172.2,9.64285771095881,1.928571542191762,1.3552124350536705,0.22966507177033493,0.83598726,0.377828054,0.138297872,97.56576657315046,2.971042646079201,3.3567820548562897,3.64478885788509,3.3659104120036734,3.3914434909820557,"Jacob deGrom",10954,594798
"Kris Bubic","KCR",8,7,0,20,20,116.1,8.974212426749611,3.0171921089934037,0.4641834013836006,0.2948717948717949,0.77507599,0.471698113,0.056603773,92.35496249079529,2.5530087076098034,3.1683300096590585,2.894448628600476,3.6287555435268315,3.341315984725952,"Kris Bubic",21455,663460
"Trevor Rogers","BAL",9,3,0,18,18,109.2,8.452887734013421,2.3799392649164,0.49240122722408275,0.22614840989399293,0.84233261,0.459649122,0.055045871,92.92774315967017,1.8054711664883034,3.3982787228512437,2.8159873746356228,3.637108232393889,3.333312749862671,"Trevor Rogers",22286,669432
"Carlos Rodón","NYY",18,9,0,33,33,195.1,9.353242564367159,3.363481316250259,1.0136519035274754,0.22821576763485477,0.76419214,0.434607645,0.110552763,94.11599902125279,3.087030797106402,3.340480607908019,3.780187529542453,3.8867035236681287,3.2265961170196533,"Carlos Rodon",16137,607074
"David Peterson","NYM",9,6,0,30,30,168.2,8.003953051899728,3.468379655823216,0.5869565571393134,0.3163265306122449,0.6918239,0.546558704,0.092436974,92.38368344425957,4.215415274000524,4.594171708420336,3.484938710845368,3.7248615225123918,3.1409006118774414,"David Peterson",20302,656849
"Joe Ryan","MIN",13,10,0,31,30,171,10.210526315789474,2.0526315789473686,1.368421052631579,0.2679425837320574,0.78636959,0.366515837,0.120930232,93.59648750278025,3.4210526315789473,3.4287130464460644,3.7374754994933372,3.699311480082964,3.122781425714493,"Joe Ryan",21390,657746
"Merrill Kelly","- - -",12,9,0,32,32,184,8.168478768917504,2.347826232982277,1.1250000699706744,0.2637795275590551,0.73226545,0.430740037,0.115,91.91596089140856,3.5217393494734153,4.1474833417734835,3.7601363570793844,3.8109399632767174,3.1212130188941956,"Merrill Kelly",11156,518876
"José Soriano","LAA",10,11,0,31,31,169,8.094674556213018,4.153846153846154,0.6390532544378699,0.3060796645702306,0.6779661,0.652806652,0.15,98.02771809895833,4.260355029585799,4.026284192057029,3.7327694543014625,3.539509958346215,2.963775873184204,"Jose Soriano",22100,667755
"Hunter Greene","CIN",7,4,0,19,19,107.2,11.034055988183178,2.1733746643391108,1.2538699986571793,0.24489795918367346,0.82926829,0.329457364,0.119047619,99.40799894403379,2.7585139970457946,3.0333518537559736,3.274455206946474,3.2675742810636224,2.904505968093872,"Hunter Greene",22182,668881
"MacKenzie Gore","WSN",5,15,0,30,30,159.2,10.427975612184886,3.6075158874585553,1.1273487148307986,0.3251231527093596,0.75647668,0.372037914,0.116279069,95.32928616522366,4.171190244873954,4.323833232815744,3.7426520145322733,3.7750893577971834,2.889007568359375,"MacKenzie Gore",22201,669022
"Brady Singer","CIN",14,12,0,32,32,169.2,8.646365940797933,3.1827113892507732,1.0078586065960782,0.2847826086956522,0.72948328,0.388655462,0.1,91.46038263494319,4.031434426384313,4.261006063854048,3.9779654453602333,4.248675499769473,2.8776259422302246,"Brady Singer",25377,663903
